character;actor
James Bond;George Lazenby
Tracy Bond;Diana Rigg
Ernst Stavro Blofeld;Telly Savalas
Marc-Ange Draco;Gabriele Ferzetti
Irma Bunt;Ilse Steppat
M;Bernard Lee
Ruby Bartlett;Angela Scoular
Miss Moneypenny;Lois Maxwell
Nancy;Catherine Von Schell
Grunther;Yuri Borienko
Sir Hilary Bray;George Baker
Shaun Campbell;Bernard Horsfall
Q;Desmond Llewelyn
Olympe;Virginia North
