character;actor
James Bond;Roger Moore
Dr. Kananga/Mr. Big;Yaphet Kotto
Solitaire;Jane Seymour
Sheriff J.W. Pepper;Clifton James
Baron Samedi;Geoffrey Holder
Tee Hee;Julius Harris
Felix Leiter;David Hedison
Rosie Carver;Gloria Hendry
M;Bernard Lee
Miss Moneypenny;Lois Maxwell
Adam;Tommy Lane
Whisper;Earl Jolly Brown
Harold Strutter;Lon Satton
Quarrel Jr.;Roy Stewart
Mrs. Bell;Ruth Kempf
