character;actor
James Bond;Roger Moore
Francisco Scaramanga;Christopher Lee
Mary Goodnight;Britt Ekland
Andrea Anders;Maud Adams
Nick Nack;Hervé Villechaize
Sheriff J.W. Pepper;Clifton James
Hai Fat;Richard Loo
Lieutenant Hip;Soon-Tek Oh
Rodney;Marc Lawrence
M;Bernard Lee
Miss Moneypenny;Lois Maxwell
Lazar;Marne Maitland
Q;Desmond Llewelyn
Colthorpe;James Cossins
Chula;Chan Yiu Lam
Maud Adams;Unknown
