character;actor
James Bond;Sean Connery
Tatiana Romanova;Unknown
Colonel Rosa Klebb;Lotte Lenya
Ali Kerim Bey;Pedro Armendariz
Red Grant;Robert Shaw
M;Bernard Lee
Sylvia Trench;Eunice Gayson
Kronsteen;Vladek Sheybal
Ernst Stavro Blofeld;Unknown
Miss Moneypenny;Lois Maxwell
Q;Desmond Llewelyn
Morzeny;Walter Gotell
Vavra;Francis de Wolff
Vida;Aliza Gur
Zora;Martine Beswick
Leila;Leila
